nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 12
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 22
   25.3750 MB /   1.44 sec =  148.2377 Mbps
   10.4375 MB /   0.57 sec =  153.5232 Mbps
   17.7500 MB /   1.00 sec =  149.5314 Mbps
   17.8750 MB /   1.00 sec =  150.0953 Mbps
   18.0000 MB /   1.01 sec =  149.9438 Mbps
   17.9375 MB /   1.00 sec =  149.7389 Mbps
   17.5625 MB /   1.00 sec =  147.4187 Mbps
   18.0625 MB /   0.99 sec =  152.8407 Mbps
   17.8750 MB /   1.00 sec =  149.9941 Mbps
   17.9375 MB /   1.00 sec =  150.5642 Mbps
   17.8125 MB /   1.00 sec =  149.4125 Mbps
   17.8750 MB /   1.00 sec =  150.0236 Mbps
   17.8750 MB /   1.00 sec =  150.0050 Mbps
   17.8125 MB /   1.00 sec =  148.9734 Mbps
   17.9375 MB /   1.00 sec =  151.0123 Mbps
   17.9375 MB /   1.00 sec =  149.9878 Mbps
   18.0000 MB /   1.00 sec =  150.3012 Mbps
   17.6875 MB /   0.99 sec =  149.7014 Mbps
   17.9375 MB /   1.00 sec =  150.0109 Mbps
   17.9375 MB /   1.00 sec =  150.1804 Mbps
   17.8125 MB /   1.00 sec =  149.8323 Mbps
   17.8750 MB /   1.00 sec =  149.9828 Mbps
   17.9375 MB /   1.00 sec =  150.1035 Mbps
   17.8125 MB /   1.00 sec =  149.8997 Mbps
   17.9375 MB /   1.00 sec =  150.5274 Mbps
   17.8125 MB /   1.00 sec =  149.5546 Mbps
   17.9375 MB /   1.00 sec =  149.8855 Mbps
   17.9375 MB /   1.00 sec =  150.2192 Mbps
   17.8125 MB /   1.00 sec =  149.7777 Mbps
   17.8750 MB /   1.00 sec =  150.3555 Mbps
   17.8750 MB /   1.00 sec =  149.6879 Mbps
   17.8750 MB /   1.00 sec =  149.9983 Mbps
   17.8750 MB /   1.00 sec =  150.0726 Mbps
   17.9375 MB /   1.00 sec =  150.0860 Mbps
   17.8125 MB /   1.00 sec =  149.8473 Mbps
   17.8750 MB /   1.00 sec =  150.0708 Mbps
   17.9375 MB /   1.00 sec =  149.9266 Mbps
   17.8750 MB /   1.00 sec =  150.0034 Mbps
   17.8750 MB /   1.00 sec =  150.4529 Mbps
   17.8750 MB /   1.00 sec =  149.7824 Mbps
   17.8750 MB /   1.00 sec =  150.0846 Mbps
   17.8750 MB /   1.00 sec =  149.6820 Mbps
   17.8750 MB /   1.00 sec =  149.9978 Mbps
   17.8750 MB /   1.00 sec =  149.9999 Mbps
   17.3125 MB /   1.01 sec =  143.7492 Mbps
   46.4375 MB /   2.63 sec =  148.3618 Mbps
    7.8125 MB /   0.36 sec =  180.5817 Mbps
  134.8125 MB /   7.55 sec =  149.8803 Mbps
    7.6250 MB /   0.46 sec =  140.4610 Mbps
   37.1250 MB /   2.05 sec =  152.1383 Mbps
   17.1250 MB /   0.98 sec =  146.3759 Mbps
   19.7500 MB /   1.29 sec =  128.2077 Mbps
   26.0000 MB /   1.86 sec =  117.0983 Mbps
   52.1875 MB /   2.33 sec =  187.7099 Mbps
    9.0000 MB /   0.49 sec =  154.0039 Mbps
   17.8125 MB /   1.00 sec =  149.5775 Mbps
   16.3750 MB /   1.00 sec =  138.0453 Mbps
   17.7500 MB /   1.00 sec =  148.9396 Mbps
   19.3750 MB /   1.00 sec =  162.5109 Mbps
   17.1250 MB /   1.00 sec =  143.5308 Mbps
   57.5625 MB /   3.18 sec =  151.8092 Mbps
   14.8750 MB /   0.91 sec =  137.1990 Mbps
   30.8125 MB /   1.61 sec =  160.2274 Mbps
   34.8750 MB /   1.95 sec =  150.0103 Mbps
    6.3125 MB /   0.35 sec =  153.0679 Mbps
   14.0625 MB /   1.45 sec =   81.1095 Mbps
   30.2500 MB /   1.04 sec =  242.9211 Mbps
   11.3125 MB /   0.70 sec =  135.6139 Mbps
   82.4375 MB /   4.54 sec =  152.1674 Mbps
    4.1875 MB /   0.31 sec =  113.5615 Mbps
   18.6250 MB /   0.95 sec =  164.9860 Mbps
    8.4375 MB /   1.73 sec =   40.8102 Mbps
   25.0625 MB /   0.30 sec =  712.5072 Mbps
    2.8750 MB /   1.00 sec =   24.1054 Mbps
   35.0625 MB /   1.00 sec =  295.1551 Mbps
  151.1875 MB /   8.47 sec =  149.6817 Mbps
   30.3125 MB /   1.69 sec =  150.7501 Mbps
   15.3125 MB /   0.85 sec =  151.7795 Mbps
  134.4375 MB /   7.54 sec =  149.6509 Mbps
    7.3750 MB /   0.49 sec =  125.0697 Mbps
   17.9375 MB /   0.95 sec =  158.4390 Mbps
   18.8125 MB /   1.00 sec =  157.5825 Mbps
   29.5000 MB /   1.65 sec =  150.0227 Mbps
  178.8750 MB /   9.99 sec =  150.1636 Mbps
   12.9375 MB /   0.71 sec =  152.8483 Mbps
   11.2500 MB /   0.63 sec =  148.7919 Mbps
   17.8750 MB /   1.00 sec =  149.7024 Mbps
   20.8750 MB /   2.54 sec =   68.8311 Mbps
   32.0625 MB /   0.49 sec =  548.6757 Mbps
   17.9375 MB /   0.99 sec =  151.3728 Mbps
   61.2500 MB /   3.44 sec =  149.5229 Mbps
   10.1875 MB /   0.55 sec =  155.3573 Mbps
   20.4375 MB /   1.10 sec =  155.3065 Mbps
   22.8125 MB /   1.27 sec =  151.1136 Mbps
   89.4375 MB /   5.02 sec =  149.5677 Mbps
  131.0000 MB /   9.25 sec =  118.7722 Mbps
   34.0000 MB /   0.76 sec =  377.1766 Mbps
   20.9375 MB /   0.95 sec =  185.8042 Mbps
   25.1250 MB /   0.84 sec =  251.1287 Mbps
   43.5625 MB /   3.35 sec =  109.0122 Mbps
   72.8750 MB /   3.14 sec =  194.5231 Mbps
    4.8750 MB /   0.33 sec =  123.2195 Mbps
   21.6875 MB /   1.16 sec =  156.8971 Mbps
   34.6875 MB /   1.94 sec =  149.9694 Mbps
   62.8750 MB /   3.54 sec =  149.0106 Mbps
    1.5000 MB /   2.73 sec =    4.6124 Mbps
   66.1875 MB /   1.05 sec =  527.4201 Mbps
   11.2500 MB /   0.60 sec =  155.9899 Mbps
   58.7500 MB /   3.33 sec =  148.1047 Mbps
   45.0625 MB /   2.51 sec =  150.7998 Mbps
    0.4375 MB /   0.14 sec =   26.8807 Mbps
   53.9375 MB /   2.90 sec =  156.0266 Mbps
    5.2500 MB /   0.29 sec =  153.6364 Mbps
   14.6875 MB /   0.79 sec =  155.1171 Mbps
   17.8750 MB /   1.00 sec =  149.9459 Mbps
   17.8750 MB /   1.00 sec =  149.8887 Mbps
   17.8750 MB /   1.00 sec =  150.0061 Mbps
   17.8750 MB /   1.00 sec =  149.9410 Mbps
   17.8750 MB /   1.00 sec =  149.9480 Mbps
   17.9375 MB /   1.00 sec =  150.4707 Mbps
   17.8750 MB /   1.01 sec =  148.7956 Mbps
   17.7500 MB /   0.99 sec =  149.7899 Mbps
   17.8750 MB /   1.00 sec =  150.0251 Mbps
   18.0000 MB /   1.01 sec =  150.0395 Mbps
   17.8125 MB /   1.00 sec =  149.9460 Mbps
   17.8125 MB /   1.00 sec =  149.9753 Mbps
   17.8750 MB /   1.00 sec =  149.9840 Mbps
   17.9375 MB /   1.00 sec =  150.1011 Mbps
   18.0000 MB /   1.01 sec =  149.9838 Mbps
   17.8125 MB /   1.00 sec =  150.1328 Mbps
   17.8125 MB /   1.00 sec =  150.1170 Mbps
   17.8750 MB /   1.00 sec =  149.6879 Mbps
   17.9375 MB /   1.00 sec =  149.9696 Mbps
   17.8125 MB /   1.00 sec =  150.0177 Mbps
   17.9375 MB /   1.00 sec =  150.0544 Mbps
   17.8125 MB /   1.00 sec =  149.9546 Mbps
   17.9375 MB /   1.00 sec =  150.1717 Mbps
   17.8750 MB /   1.00 sec =  149.8361 Mbps
   17.8750 MB /   1.00 sec =  150.0082 Mbps
   17.8750 MB /   1.00 sec =  149.9858 Mbps
   17.8750 MB /   1.00 sec =  150.0430 Mbps
   17.9375 MB /   1.00 sec =  150.4750 Mbps
   17.9375 MB /   1.00 sec =  149.9185 Mbps
   17.7500 MB /   1.00 sec =  149.5629 Mbps
   17.8750 MB /   1.00 sec =  149.9993 Mbps
   17.8750 MB /   1.00 sec =  149.8996 Mbps
   18.0000 MB /   1.00 sec =  150.4908 Mbps
   17.1875 MB /   1.01 sec =  143.3610 Mbps
   18.5000 MB /   0.99 sec =  156.6530 Mbps
   17.8750 MB /   1.00 sec =  149.7035 Mbps
   17.8750 MB /   1.00 sec =  149.9905 Mbps
   17.8750 MB /   1.00 sec =  150.0014 Mbps
   17.8750 MB /   1.00 sec =  149.9963 Mbps
   17.9375 MB /   1.00 sec =  150.0006 Mbps
   17.9375 MB /   1.00 sec =  150.4333 Mbps
   17.7500 MB /   1.00 sec =  149.5611 Mbps
   18.0625 MB /   1.01 sec =  150.3726 Mbps
   17.7500 MB /   1.00 sec =  149.6299 Mbps
   17.3750 MB /   1.06 sec =  137.4143 Mbps
    9.7500 MB /   2.73 sec =   29.9419 Mbps
   44.5000 MB /   0.20 sec = 1821.7415 Mbps
   58.8750 MB /   6.67 sec =   74.0320 Mbps
   59.2500 MB /   0.35 sec = 1400.6268 Mbps
   24.4375 MB /   0.98 sec =  209.6918 Mbps
   17.8750 MB /   1.00 sec =  150.4987 Mbps
   17.8125 MB /   1.00 sec =  149.4077 Mbps
   18.2500 MB /   1.00 sec =  152.9306 Mbps
   27.9375 MB /   2.28 sec =  102.6309 Mbps
   83.5625 MB /   3.95 sec =  177.5969 Mbps
   17.5000 MB /   0.98 sec =  149.1890 Mbps
   13.1250 MB /   0.91 sec =  120.8315 Mbps
    9.5625 MB /   1.09 sec =   73.4089 Mbps
   25.7500 MB /   0.78 sec =  275.2270 Mbps
