nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 12
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 22
    8.0625 MB /   1.37 sec =   49.4049 Mbps
    3.7500 MB /   0.63 sec =   49.6588 Mbps
    6.0000 MB /   1.00 sec =   50.1800 Mbps
    6.0000 MB /   1.00 sec =   50.0949 Mbps
    5.9375 MB /   0.99 sec =   50.2624 Mbps
    5.9375 MB /   1.00 sec =   49.6428 Mbps
    5.9375 MB /   1.00 sec =   49.9850 Mbps
    6.0625 MB /   1.00 sec =   50.8279 Mbps
    5.8750 MB /   1.00 sec =   49.2627 Mbps
    5.9375 MB /   1.00 sec =   49.7747 Mbps
    6.0000 MB /   1.00 sec =   50.1691 Mbps
    5.9375 MB /   1.00 sec =   50.0475 Mbps
    6.0000 MB /   1.00 sec =   50.3313 Mbps
    5.9375 MB /   1.00 sec =   49.6307 Mbps
    6.0000 MB /   1.00 sec =   50.3455 Mbps
    5.9375 MB /   1.00 sec =   49.8300 Mbps
    5.9375 MB /   1.00 sec =   49.8244 Mbps
    5.9375 MB /   1.00 sec =   49.6738 Mbps
    6.0000 MB /   1.00 sec =   50.3771 Mbps
    5.9375 MB /   1.00 sec =   49.6215 Mbps
    5.9375 MB /   0.99 sec =   50.1580 Mbps
    6.0000 MB /   1.01 sec =   49.9928 Mbps
    5.8750 MB /   1.00 sec =   49.4767 Mbps
    6.0625 MB /   1.00 sec =   50.7303 Mbps
    5.9375 MB /   0.99 sec =   50.1431 Mbps
    5.9375 MB /   1.00 sec =   49.8237 Mbps
    6.0000 MB /   1.00 sec =   50.2564 Mbps
    5.9375 MB /   1.00 sec =   49.7457 Mbps
    6.0000 MB /   1.00 sec =   50.3470 Mbps
    5.9375 MB /   1.00 sec =   49.8241 Mbps
    6.0000 MB /   1.00 sec =   50.4164 Mbps
    5.8750 MB /   1.01 sec =   48.9499 Mbps
    6.0000 MB /   0.99 sec =   50.6454 Mbps
    5.9375 MB /   1.00 sec =   49.8558 Mbps
    6.0000 MB /   1.00 sec =   50.1458 Mbps
    5.8750 MB /   1.00 sec =   49.2993 Mbps
    6.0625 MB /   1.00 sec =   50.8784 Mbps
    5.8750 MB /   1.00 sec =   49.3676 Mbps
    6.0000 MB /   1.00 sec =   50.2782 Mbps
    6.0000 MB /   1.00 sec =   50.3495 Mbps
    5.8750 MB /   1.00 sec =   49.2139 Mbps
    6.0000 MB /   1.00 sec =   50.4866 Mbps
    6.0000 MB /   1.00 sec =   50.3057 Mbps
    5.9375 MB /   1.00 sec =   49.8248 Mbps
    5.8750 MB /   1.01 sec =   48.5831 Mbps
   15.1250 MB /   2.50 sec =   50.6666 Mbps
    2.8750 MB /   0.50 sec =   48.2697 Mbps
   44.4375 MB /   7.46 sec =   49.9685 Mbps
    0.9375 MB /   0.54 sec =   14.5697 Mbps
   11.7500 MB /   1.96 sec =   50.2396 Mbps
    0.0000 MB /   0.03 sec =    0.0000 Mbps
    8.0000 MB /   1.00 sec =   67.2932 Mbps
    7.7500 MB /   1.22 sec =   53.4936 Mbps
   11.0625 MB /   1.88 sec =   49.4336 Mbps
   13.8750 MB /   2.34 sec =   49.6919 Mbps
    3.3750 MB /   0.55 sec =   51.0558 Mbps
    6.1875 MB /   1.00 sec =   51.9010 Mbps
    5.9375 MB /   1.00 sec =   49.8029 Mbps
    5.6875 MB /   1.03 sec =   46.4483 Mbps
    5.9375 MB /   1.00 sec =   49.9992 Mbps
    6.0000 MB /   1.06 sec =   47.4434 Mbps
   16.6250 MB /   3.03 sec =   46.0152 Mbps
    6.8750 MB /   0.91 sec =   63.4844 Mbps
   10.2500 MB /   1.61 sec =   53.2696 Mbps
   11.6250 MB /   1.95 sec =   49.9756 Mbps
   10.5625 MB /   1.80 sec =   49.2801 Mbps
    6.3750 MB /   1.05 sec =   51.1293 Mbps
    4.0000 MB /   0.70 sec =   48.2514 Mbps
   27.2500 MB /   4.55 sec =   50.2615 Mbps
    1.1250 MB /   0.35 sec =   26.9096 Mbps
    6.5625 MB /   0.99 sec =   55.3931 Mbps
    8.2500 MB /   1.66 sec =   41.7998 Mbps
    3.8750 MB /   0.34 sec =   96.7721 Mbps
    5.3750 MB /   1.00 sec =   45.1657 Mbps
    6.0000 MB /   0.99 sec =   50.6221 Mbps
   50.6250 MB /   8.43 sec =   50.3845 Mbps
    5.8125 MB /   1.65 sec =   29.5736 Mbps
    9.7500 MB /   0.93 sec =   87.5993 Mbps
   44.3125 MB /   7.49 sec =   49.6556 Mbps
    3.3125 MB /   0.60 sec =   46.4037 Mbps
    5.9375 MB /   0.90 sec =   55.3808 Mbps
    5.9375 MB /   1.00 sec =   49.7984 Mbps
    9.4375 MB /   1.60 sec =   49.6178 Mbps
   59.6250 MB /   9.99 sec =   50.0480 Mbps
    4.1875 MB /   0.71 sec =   49.4430 Mbps
    4.3125 MB /   0.73 sec =   49.4271 Mbps
   20.6250 MB /   3.49 sec =   49.6294 Mbps
    3.0625 MB /   0.51 sec =   50.3785 Mbps
    5.8125 MB /   0.98 sec =   49.5317 Mbps
   20.0625 MB /   3.45 sec =   48.8267 Mbps
    3.9375 MB /   0.54 sec =   60.8390 Mbps
    6.3750 MB /   1.05 sec =   50.8939 Mbps
    7.5625 MB /   1.27 sec =   50.0519 Mbps
   29.8125 MB /   5.01 sec =   49.8726 Mbps
   49.5625 MB /   9.21 sec =   45.1244 Mbps
   10.1875 MB /   0.79 sec =  108.2358 Mbps
    5.6250 MB /   0.95 sec =   49.5562 Mbps
    5.0000 MB /   0.84 sec =   49.7270 Mbps
   19.8125 MB /   3.33 sec =   49.8679 Mbps
   18.9375 MB /   3.16 sec =   50.3090 Mbps
    8.7500 MB /   1.49 sec =   49.4038 Mbps
   11.6250 MB /   1.95 sec =   50.0110 Mbps
   21.0000 MB /   3.54 sec =   49.8263 Mbps
    0.5625 MB /   2.73 sec =    1.7287 Mbps
   21.8125 MB /   1.05 sec =  173.4869 Mbps
    4.0625 MB /   0.65 sec =   52.8001 Mbps
   17.8125 MB /   3.28 sec =   45.5025 Mbps
   16.5625 MB /   2.49 sec =   55.7182 Mbps
    1.0000 MB /   0.20 sec =   42.3327 Mbps
   17.3125 MB /   2.85 sec =   50.9488 Mbps
    1.3750 MB /   0.29 sec =   40.0712 Mbps
    5.6250 MB /   0.86 sec =   54.8017 Mbps
    6.0000 MB /   1.00 sec =   50.3299 Mbps
    5.9375 MB /   1.00 sec =   49.8071 Mbps
    5.9375 MB /   1.00 sec =   49.8084 Mbps
    6.0000 MB /   1.00 sec =   50.3330 Mbps
    5.9375 MB /   1.00 sec =   49.8029 Mbps
    6.0000 MB /   1.00 sec =   50.3344 Mbps
    5.8125 MB /   1.00 sec =   48.7055 Mbps
    5.9375 MB /   1.00 sec =   49.7958 Mbps
    6.0625 MB /   1.00 sec =   50.8393 Mbps
    5.7500 MB /   1.00 sec =   48.1798 Mbps
    6.0625 MB /   1.00 sec =   50.9803 Mbps
    6.0000 MB /   1.00 sec =   50.1904 Mbps
    5.9375 MB /   1.00 sec =   49.6220 Mbps
    6.0000 MB /   1.00 sec =   50.5469 Mbps
    6.0000 MB /   1.02 sec =   49.3987 Mbps
    5.9375 MB /   0.98 sec =   50.8021 Mbps
    5.9375 MB /   1.00 sec =   49.8292 Mbps
    6.0000 MB /   1.01 sec =   49.9722 Mbps
    5.8750 MB /   0.99 sec =   49.5837 Mbps
    6.0000 MB /   1.00 sec =   50.4370 Mbps
    6.0000 MB /   1.00 sec =   50.1765 Mbps
    6.0000 MB /   1.00 sec =   50.3497 Mbps
    6.0000 MB /   1.00 sec =   50.3504 Mbps
    5.9375 MB /   1.00 sec =   49.8478 Mbps
    5.8125 MB /   1.01 sec =   48.4867 Mbps
    6.0000 MB /   0.99 sec =   50.6565 Mbps
    5.9375 MB /   1.00 sec =   49.6370 Mbps
    6.0000 MB /   1.00 sec =   50.5104 Mbps
    6.0000 MB /   1.01 sec =   50.0000 Mbps
