    9.8125 MB /   1.66 sec =   49.5186 Mbps
    5.0000 MB /   0.85 sec =   49.5255 Mbps
    9.3750 MB /   1.58 sec =   49.6585 Mbps
    4.3750 MB /   1.23 sec =   29.8580 Mbps
   15.6250 MB /   2.12 sec =   61.8692 Mbps
   23.5000 MB /   3.96 sec =   49.8372 Mbps
    5.9375 MB /   1.01 sec =   49.1622 Mbps
   11.9375 MB /   1.98 sec =   50.6656 Mbps
    5.8750 MB /   1.02 sec =   48.3525 Mbps
    8.9375 MB /   1.92 sec =   39.1411 Mbps
    6.8125 MB /   0.68 sec =   84.0273 Mbps
    2.8125 MB /   1.13 sec =   20.8436 Mbps
   24.2500 MB /   3.43 sec =   59.3001 Mbps
   10.7500 MB /   1.79 sec =   50.3317 Mbps
    7.2500 MB /   1.23 sec =   49.3297 Mbps
    1.5000 MB /   0.42 sec =   29.8134 Mbps
    6.7500 MB /   1.00 sec =   56.7101 Mbps
   15.6875 MB /   2.58 sec =   51.0610 Mbps
    2.3125 MB /   0.42 sec =   46.4690 Mbps
    6.1250 MB /   1.00 sec =   51.2810 Mbps
    5.7500 MB /   1.00 sec =   48.0119 Mbps
    5.9375 MB /   1.00 sec =   50.0428 Mbps
    6.1250 MB /   1.00 sec =   51.4199 Mbps
    6.0000 MB /   1.00 sec =   50.4308 Mbps
    5.0625 MB /   1.17 sec =   36.4087 Mbps
    6.8750 MB /   0.83 sec =   69.2680 Mbps
    7.9375 MB /   1.39 sec =   48.0414 Mbps
    1.8125 MB /   0.61 sec =   24.7751 Mbps
    9.5000 MB /   1.23 sec =   64.9672 Mbps
   11.0000 MB /   2.59 sec =   35.6436 Mbps
    5.8125 MB /   0.26 sec =  184.0538 Mbps
    1.2500 MB /   1.23 sec =    8.5162 Mbps
   24.9375 MB /   5.11 sec =   40.9690 Mbps
   22.0625 MB /   1.73 sec =  106.9046 Mbps
    9.7500 MB /   1.63 sec =   50.2173 Mbps
    0.0625 MB /   0.26 sec =    2.0525 Mbps
    7.1250 MB /   0.98 sec =   60.8829 Mbps
    6.0625 MB /   1.00 sec =   51.0207 Mbps
   24.3125 MB /   4.09 sec =   49.8604 Mbps
   74.5625 MB /  12.52 sec =   49.9765 Mbps
   19.0625 MB /   3.18 sec =   50.3244 Mbps
   56.7500 MB /   9.52 sec =   49.9863 Mbps
    1.2500 MB /   0.30 sec =   34.6610 Mbps
   18.1875 MB /   2.97 sec =   51.3711 Mbps
    5.2500 MB /   0.88 sec =   50.2060 Mbps
   14.1875 MB /   2.42 sec =   49.1366 Mbps
    3.5625 MB /   0.62 sec =   48.5799 Mbps
   11.0000 MB /   1.82 sec =   50.6939 Mbps
    0.5625 MB /   0.14 sec =   33.5482 Mbps
    6.5000 MB /   1.00 sec =   54.3807 Mbps
    6.3125 MB /   1.05 sec =   50.4324 Mbps
   15.1875 MB /   2.55 sec =   50.0254 Mbps
    5.3750 MB /   1.05 sec =   42.8129 Mbps
    2.4375 MB /   0.34 sec =   60.3494 Mbps
    6.6250 MB /   1.03 sec =   53.9772 Mbps
    8.7500 MB /   1.74 sec =   42.1405 Mbps
    0.0625 MB /   0.24 sec =    2.1434 Mbps
    8.9375 MB /   1.00 sec =   75.2818 Mbps
    5.8750 MB /   0.99 sec =   49.5516 Mbps
    6.0000 MB /   1.00 sec =   50.2432 Mbps
    5.8750 MB /   0.99 sec =   49.6693 Mbps
    6.1250 MB /   1.02 sec =   50.5694 Mbps
    5.8750 MB /   0.98 sec =   50.1177 Mbps
    5.9375 MB /   1.00 sec =   49.8203 Mbps
    6.0625 MB /   1.00 sec =   50.7182 Mbps
    6.0000 MB /   1.00 sec =   50.3526 Mbps
    5.9375 MB /   1.00 sec =   49.9024 Mbps
    6.0000 MB /   1.02 sec =   49.4325 Mbps
    5.9375 MB /   1.00 sec =   50.0089 Mbps
    5.7500 MB /   1.00 sec =   48.4694 Mbps
    5.7500 MB /   1.00 sec =   48.4514 Mbps
    6.2500 MB /   1.00 sec =   52.6608 Mbps
    6.0000 MB /   1.00 sec =   50.3478 Mbps
    5.9375 MB /   1.00 sec =   49.8290 Mbps
    5.9375 MB /   1.01 sec =   49.3888 Mbps
    5.9375 MB /   1.00 sec =   49.9961 Mbps
    5.8750 MB /   1.00 sec =   49.2674 Mbps
    6.1875 MB /   1.00 sec =   51.8760 Mbps
    4.3750 MB /   1.12 sec =   32.6461 Mbps
   11.0000 MB /   1.49 sec =   61.9035 Mbps
    2.4375 MB /   0.41 sec =   50.4866 Mbps
    5.7500 MB /   0.98 sec =   49.0367 Mbps
    6.1875 MB /   1.00 sec =   52.1195 Mbps
    9.7500 MB /   1.64 sec =   49.7432 Mbps
   11.4375 MB /   1.91 sec =   50.2484 Mbps
   26.4375 MB /   4.44 sec =   49.9202 Mbps
    6.3750 MB /   1.08 sec =   49.7012 Mbps
    6.9375 MB /   1.16 sec =   50.2432 Mbps
   11.0625 MB /   1.85 sec =   50.0733 Mbps
   23.6250 MB /   3.96 sec =   50.0465 Mbps
   17.9375 MB /   3.02 sec =   49.9020 Mbps
    4.3750 MB /   0.94 sec =   39.1543 Mbps
    4.9375 MB /   2.03 sec =   20.4439 Mbps
   15.3750 MB /   1.20 sec =  107.8167 Mbps
    0.1875 MB /   0.79 sec =    1.9836 Mbps
   23.8750 MB /   3.24 sec =   61.8389 Mbps
   16.6250 MB /   2.80 sec =   49.8573 Mbps
    5.9375 MB /   0.99 sec =   50.4326 Mbps
    7.0000 MB /   1.16 sec =   50.6080 Mbps
    5.3125 MB /   0.93 sec =   48.0845 Mbps
    8.2500 MB /   1.35 sec =   51.1045 Mbps
   10.6250 MB /   1.79 sec =   49.8003 Mbps
    4.2500 MB /   0.74 sec =   48.2191 Mbps
   54.6250 MB /   9.13 sec =   50.1972 Mbps
    6.8125 MB /   1.19 sec =   48.1054 Mbps
    8.2500 MB /   1.34 sec =   51.5356 Mbps
    1.7500 MB /   0.34 sec =   43.2358 Mbps
    6.0625 MB /   1.00 sec =   51.0095 Mbps
    5.9375 MB /   1.00 sec =   49.9970 Mbps
   20.5625 MB /   3.44 sec =   50.2120 Mbps
    3.4375 MB /   0.57 sec =   50.2031 Mbps
    5.8125 MB /   0.99 sec =   49.1993 Mbps
    5.9375 MB /   1.00 sec =   49.8042 Mbps
    6.1875 MB /   1.02 sec =   50.7730 Mbps
    5.8750 MB /   0.99 sec =   49.6849 Mbps
    6.5625 MB /   2.61 sec =   21.1125 Mbps
   11.2500 MB /   0.38 sec =  248.7285 Mbps
   10.4375 MB /   1.74 sec =   50.2111 Mbps
    1.5625 MB /   0.26 sec =   50.6189 Mbps
   17.6250 MB /   2.95 sec =   50.1337 Mbps
    0.1250 MB /   0.05 sec =   22.5753 Mbps
   18.5000 MB /   3.08 sec =   50.4195 Mbps
   11.2500 MB /   1.89 sec =   49.8582 Mbps
    0.5000 MB /   0.11 sec =   38.6131 Mbps
   13.8750 MB /   2.32 sec =   50.0938 Mbps
   12.1250 MB /   2.00 sec =   50.9509 Mbps
   22.6250 MB /   3.83 sec =   49.5254 Mbps
   59.3750 MB /   9.95 sec =   50.0470 Mbps
    6.3750 MB /   1.05 sec =   50.7296 Mbps
   53.1250 MB /   8.97 sec =   49.6856 Mbps
   12.1875 MB /   1.98 sec =   51.6152 Mbps
   37.8125 MB /   6.71 sec =   47.2534 Mbps
    2.6875 MB /   0.10 sec =  223.8789 Mbps
    6.6875 MB /   1.20 sec =   46.5795 Mbps
    5.4375 MB /   0.85 sec =   53.8111 Mbps
   59.5625 MB /  10.02 sec =   49.8496 Mbps
    6.1250 MB /   0.98 sec =   52.4176 Mbps
   53.2500 MB /   8.92 sec =   50.0583 Mbps
    0.0000 MB /   0.03 sec =    0.0000 Mbps
   62.0625 MB /  10.40 sec =   50.0553 Mbps
    6.2500 MB /   1.02 sec =   51.3594 Mbps
   15.3125 MB /   5.61 sec =   22.8913 Mbps
   23.8125 MB /   0.96 sec =  208.5275 Mbps
   14.1875 MB /   2.38 sec =   50.0006 Mbps
   12.3125 MB /   2.06 sec =   50.0583 Mbps
    3.3750 MB /   0.57 sec =   49.7209 Mbps
    5.9375 MB /   1.00 sec =   50.0331 Mbps
    5.9375 MB /   1.00 sec =   49.9067 Mbps
    5.6875 MB /   0.99 sec =   48.0385 Mbps
    6.0625 MB /   1.00 sec =   50.9350 Mbps
    6.1250 MB /   1.00 sec =   51.3294 Mbps
    5.8750 MB /   1.00 sec =   49.5109 Mbps
    5.9375 MB /   1.00 sec =   49.8081 Mbps
    6.0000 MB /   1.00 sec =   50.3199 Mbps
    6.1250 MB /   1.00 sec =   51.2354 Mbps
    5.9375 MB /   1.00 sec =   49.9518 Mbps
    6.0000 MB /   1.02 sec =   49.1063 Mbps
    6.0625 MB /   1.01 sec =   50.3458 Mbps
    5.8125 MB /   0.98 sec =   49.9115 Mbps
    5.8750 MB /   1.00 sec =   49.4744 Mbps
   37.0000 MB /   6.22 sec =   49.8706 Mbps

 1804.0625 MB / 302.71 sec =   49.9942 Mbps 82 %TX 1 %RX 139.63 msRTT
