nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 3
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 10
nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 18
    8.3125 MB /   1.30 sec =   53.4472 Mbps
    3.2500 MB /   1.09 sec =   25.0740 Mbps
    0.1875 MB /   0.64 sec =    2.4475 Mbps
   14.1250 MB /   1.15 sec =  103.0759 Mbps
    2.5625 MB /   0.85 sec =   25.3211 Mbps
    8.4375 MB /   0.99 sec =   71.6783 Mbps
    6.1875 MB /   1.07 sec =   48.6638 Mbps
   11.2500 MB /   2.28 sec =   41.3914 Mbps
   10.1250 MB /   2.10 sec =   40.4681 Mbps
   11.6875 MB /   1.18 sec =   83.3429 Mbps
    9.6250 MB /   1.66 sec =   48.5582 Mbps
    4.1250 MB /   0.73 sec =   47.6981 Mbps
   13.2500 MB /   2.12 sec =   52.4981 Mbps
    7.0625 MB /   1.18 sec =   50.4208 Mbps
    7.6250 MB /   1.62 sec =   39.4174 Mbps
    2.0000 MB /   0.06 sec =  287.6061 Mbps
    6.7500 MB /   1.09 sec =   51.9608 Mbps
   10.2500 MB /   1.69 sec =   50.9781 Mbps
    0.3125 MB /   0.25 sec =   10.6692 Mbps
    9.9375 MB /   2.72 sec =   30.6959 Mbps
   23.1875 MB /   2.70 sec =   72.1282 Mbps
    3.5000 MB /   0.57 sec =   51.5563 Mbps
   19.0000 MB /   3.19 sec =   50.0219 Mbps
    5.0000 MB /   0.81 sec =   52.0281 Mbps
    5.6875 MB /   1.00 sec =   47.6975 Mbps
    9.3125 MB /   1.55 sec =   50.4987 Mbps
    2.9375 MB /   0.49 sec =   50.5549 Mbps
   24.4375 MB /   4.10 sec =   50.0517 Mbps
    5.8125 MB /   1.00 sec =   48.5774 Mbps
    4.8125 MB /   0.89 sec =   45.5965 Mbps
    5.9375 MB /   1.29 sec =   38.5592 Mbps
    6.5625 MB /   0.70 sec =   79.0780 Mbps
    5.6875 MB /   1.00 sec =   47.8859 Mbps
   12.7500 MB /   3.01 sec =   35.5086 Mbps
   11.5000 MB /   0.99 sec =   97.8378 Mbps
   10.6875 MB /   1.84 sec =   48.8563 Mbps
   10.4375 MB /   1.74 sec =   50.1920 Mbps
    2.6250 MB /   0.44 sec =   49.8271 Mbps
   56.8125 MB /   9.52 sec =   50.0392 Mbps
    2.8125 MB /   0.46 sec =   51.3853 Mbps
    9.2500 MB /   1.73 sec =   44.8549 Mbps
    2.5625 MB /   0.29 sec =   74.7314 Mbps
   28.2500 MB /   4.71 sec =   50.3635 Mbps
    5.3750 MB /   0.93 sec =   48.3506 Mbps
   13.1875 MB /   2.19 sec =   50.5552 Mbps
   17.8750 MB /   3.00 sec =   49.9284 Mbps
    9.6250 MB /   1.60 sec =   50.6128 Mbps
    4.1250 MB /   0.70 sec =   49.5478 Mbps
    6.4375 MB /   1.10 sec =   49.2336 Mbps
    0.8125 MB /   1.02 sec =    6.6820 Mbps
    9.5000 MB /   0.76 sec =  104.5389 Mbps
    6.1250 MB /   0.98 sec =   52.6436 Mbps
    5.8750 MB /   1.00 sec =   49.0949 Mbps
    5.8125 MB /   1.03 sec =   47.3944 Mbps
    6.3125 MB /   0.99 sec =   53.6598 Mbps
   21.2500 MB /   3.65 sec =   48.8245 Mbps
   33.0625 MB /   5.46 sec =   50.7782 Mbps
   10.6875 MB /   1.79 sec =   50.0029 Mbps
