   24.9375 MB /   1.40 sec =  149.1535 Mbps
   18.2500 MB /   1.04 sec =  147.2823 Mbps
   10.5000 MB /   0.57 sec =  154.7809 Mbps
   17.8125 MB /   0.99 sec =  151.0680 Mbps
   17.8125 MB /   1.00 sec =  148.9414 Mbps
   17.8750 MB /   1.00 sec =  150.0136 Mbps
   17.8750 MB /   1.00 sec =  149.9770 Mbps
   17.8750 MB /   1.00 sec =  150.2690 Mbps
   17.8125 MB /   1.00 sec =  149.3104 Mbps
   17.8750 MB /   1.00 sec =  149.9734 Mbps
   17.9375 MB /   1.00 sec =  150.4526 Mbps
   18.0625 MB /   1.01 sec =  150.4370 Mbps
   17.8750 MB /   1.00 sec =  150.0083 Mbps
   17.7500 MB /   0.99 sec =  150.0095 Mbps
   17.8750 MB /   1.00 sec =  149.5465 Mbps
   17.8750 MB /   1.00 sec =  150.0960 Mbps
   17.8750 MB /   1.00 sec =  150.2497 Mbps
   17.9375 MB /   1.01 sec =  149.6245 Mbps
   17.8750 MB /   1.00 sec =  150.1497 Mbps
   17.8750 MB /   1.00 sec =  150.5270 Mbps
   18.3125 MB /   1.03 sec =  149.4518 Mbps
   17.3750 MB /   0.97 sec =  149.9326 Mbps
   17.9375 MB /   1.00 sec =  150.3822 Mbps
   17.8750 MB /   1.00 sec =  149.6121 Mbps
   17.9375 MB /   1.00 sec =  150.4036 Mbps
   17.8125 MB /   1.00 sec =  149.5899 Mbps
   17.8750 MB /   1.00 sec =  149.9987 Mbps
   17.9375 MB /   1.00 sec =  150.5926 Mbps
   17.9375 MB /   1.00 sec =  149.8494 Mbps
   17.8125 MB /   1.00 sec =  149.6512 Mbps
   17.8125 MB /   1.00 sec =  149.8985 Mbps
   17.9375 MB /   1.00 sec =  150.0221 Mbps
   17.8750 MB /   1.00 sec =  150.2261 Mbps
   17.8750 MB /   1.00 sec =  150.2482 Mbps
   17.9375 MB /   1.01 sec =  149.6509 Mbps
   17.8750 MB /   1.00 sec =  150.0463 Mbps
   17.8750 MB /   1.00 sec =  149.8276 Mbps
   17.9375 MB /   1.00 sec =  150.1300 Mbps
   17.8125 MB /   0.99 sec =  150.3594 Mbps
   17.8125 MB /   1.00 sec =  149.4931 Mbps
   17.9375 MB /   1.00 sec =  150.0012 Mbps
   17.9375 MB /   1.00 sec =  151.0809 Mbps
   17.8125 MB /   1.00 sec =  149.4617 Mbps
   17.8125 MB /   1.00 sec =  149.3211 Mbps
   18.0000 MB /   1.00 sec =  151.0581 Mbps
   17.8125 MB /   1.00 sec =  149.4364 Mbps
   18.0000 MB /   1.01 sec =  149.8073 Mbps
   17.8750 MB /   1.00 sec =  150.0709 Mbps
   17.7500 MB /   0.99 sec =  149.7821 Mbps
   17.9375 MB /   1.00 sec =  150.2310 Mbps
   18.0000 MB /   1.01 sec =  149.8813 Mbps
   17.7500 MB /   0.99 sec =  149.8861 Mbps
   17.8125 MB /   1.00 sec =  149.9818 Mbps
   17.9375 MB /   1.00 sec =  150.2387 Mbps
   17.9375 MB /   1.00 sec =  149.7793 Mbps
   17.8125 MB /   1.00 sec =  150.0086 Mbps
   17.9375 MB /   1.00 sec =  150.6433 Mbps
   17.9375 MB /   1.01 sec =  149.5830 Mbps
   18.0000 MB /   1.01 sec =  149.9281 Mbps
   17.6875 MB /   0.99 sec =  150.2089 Mbps
   17.8125 MB /   1.00 sec =  149.6320 Mbps
   17.9375 MB /   1.00 sec =  150.1831 Mbps
   18.0000 MB /   1.01 sec =  150.1506 Mbps
   17.8125 MB /   1.00 sec =  149.9493 Mbps
   17.8125 MB /   1.00 sec =  149.9758 Mbps
   17.8750 MB /   1.00 sec =  149.7483 Mbps
   17.8750 MB /   1.00 sec =  149.9969 Mbps
   17.9375 MB /   1.00 sec =  150.4419 Mbps
   17.8125 MB /   1.00 sec =  149.5437 Mbps
   18.0000 MB /   1.01 sec =  150.0801 Mbps
   17.7500 MB /   0.99 sec =  149.9355 Mbps
   17.9375 MB /   1.00 sec =  149.9959 Mbps
   17.8750 MB /   1.00 sec =  149.9984 Mbps
   17.8750 MB /   1.00 sec =  149.9956 Mbps
   17.8750 MB /   1.00 sec =  150.3246 Mbps
   17.8750 MB /   1.00 sec =  149.8614 Mbps
   17.8750 MB /   1.00 sec =  149.9708 Mbps
   17.8750 MB /   1.00 sec =  149.4503 Mbps
   17.9375 MB /   1.00 sec =  150.3750 Mbps
   17.9375 MB /   1.01 sec =  149.6495 Mbps
   17.7500 MB /   0.99 sec =  150.2543 Mbps
   17.9375 MB /   1.00 sec =  150.2063 Mbps
   17.8750 MB /   1.00 sec =  150.3234 Mbps
   17.8750 MB /   1.00 sec =  149.5935 Mbps
   17.9375 MB /   1.00 sec =  150.1424 Mbps
   17.8750 MB /   1.00 sec =  150.4720 Mbps
   18.0000 MB /   1.01 sec =  149.8748 Mbps
   17.7500 MB /   1.00 sec =  149.5139 Mbps
   17.8750 MB /   1.00 sec =  150.3576 Mbps
   17.9375 MB /   1.00 sec =  150.7047 Mbps
   17.7500 MB /   1.00 sec =  148.8871 Mbps
   17.9375 MB /   1.00 sec =  150.3870 Mbps
   17.8750 MB /   1.00 sec =  149.6805 Mbps
   17.9375 MB /   1.00 sec =  150.5163 Mbps
   18.3125 MB /   1.03 sec =  149.5961 Mbps
   17.4375 MB /   0.98 sec =  149.9520 Mbps
   17.8125 MB /   1.00 sec =  149.9817 Mbps
   17.9375 MB /   1.00 sec =  149.9774 Mbps
   17.9375 MB /   1.00 sec =  150.2947 Mbps
   17.7500 MB /   0.99 sec =  149.6853 Mbps
   17.9375 MB /   1.00 sec =  150.4297 Mbps
   18.0000 MB /   1.01 sec =  149.8803 Mbps
   17.7500 MB /   0.99 sec =  149.7006 Mbps
   17.8750 MB /   1.00 sec =  149.9782 Mbps
   17.8750 MB /   1.00 sec =  149.9665 Mbps
   17.8750 MB /   1.00 sec =  150.3177 Mbps
   17.8750 MB /   1.00 sec =  149.7103 Mbps
   17.9375 MB /   1.00 sec =  150.4564 Mbps
   17.8750 MB /   1.00 sec =  149.9105 Mbps
   17.8750 MB /   1.00 sec =  150.0813 Mbps
   17.9375 MB /   1.01 sec =  149.5405 Mbps
   17.8125 MB /   1.00 sec =  149.9942 Mbps
   18.0000 MB /   1.00 sec =  150.5252 Mbps
   17.8125 MB /   1.00 sec =  149.9145 Mbps
   17.8750 MB /   1.00 sec =  149.8365 Mbps
   17.8125 MB /   1.00 sec =  149.7274 Mbps
   17.9375 MB /   1.00 sec =  150.4661 Mbps
   17.8750 MB /   1.00 sec =  149.7834 Mbps
   18.0000 MB /   1.01 sec =  150.1036 Mbps
   17.6875 MB /   0.99 sec =  149.6422 Mbps
   17.8750 MB /   1.00 sec =  150.0287 Mbps
   17.9375 MB /   1.00 sec =  149.9940 Mbps
   17.8750 MB /   1.00 sec =  150.4422 Mbps
   96.0625 MB /   5.52 sec =  146.0847 Mbps
   10.8750 MB /   0.49 sec =  186.2655 Mbps
   23.4375 MB /   1.32 sec =  149.4603 Mbps
   56.5000 MB /   3.13 sec =  151.2153 Mbps
    2.1250 MB /   0.55 sec =   32.3703 Mbps
  105.1250 MB /   5.52 sec =  159.6497 Mbps
    4.9375 MB /   1.66 sec =   25.0094 Mbps
   51.4375 MB /   1.45 sec =  297.2879 Mbps
   15.8125 MB /   0.85 sec =  156.6377 Mbps
  124.5625 MB /   6.99 sec =  149.5431 Mbps
   10.3125 MB /   0.59 sec =  146.2521 Mbps
   16.3125 MB /   0.95 sec =  144.5000 Mbps
   27.1875 MB /   1.45 sec =  156.9448 Mbps
  141.8750 MB /   8.02 sec =  148.4613 Mbps
   11.5625 MB /   0.61 sec =  160.0074 Mbps
  187.3750 MB /  10.45 sec =  150.4285 Mbps
    7.4375 MB /   0.49 sec =  126.3240 Mbps
   50.6875 MB /   2.75 sec =  154.6950 Mbps
    3.3750 MB /   0.35 sec =   79.8552 Mbps
  135.0625 MB /   7.38 sec =  153.4186 Mbps
    0.1250 MB /   0.49 sec =    2.1384 Mbps
  139.0000 MB /   7.32 sec =  159.1995 Mbps
   13.1875 MB /   0.75 sec =  147.4887 Mbps
   92.5000 MB /   6.08 sec =  127.5935 Mbps
   31.5000 MB /   0.94 sec =  279.8213 Mbps
   29.4375 MB /   3.54 sec =   69.7692 Mbps
   42.6250 MB /   0.39 sec =  926.7408 Mbps
   26.7500 MB /   1.61 sec =  139.7205 Mbps
    0.1250 MB /   0.39 sec =    2.7152 Mbps
   39.9375 MB /   1.74 sec =  192.3232 Mbps
   10.6875 MB /   0.60 sec =  150.0890 Mbps
   12.3125 MB /   0.70 sec =  147.0811 Mbps
   15.5000 MB /   0.94 sec =  138.1436 Mbps
   19.5000 MB /   1.00 sec =  163.1707 Mbps
  131.4375 MB /   7.32 sec =  150.5316 Mbps
   14.1250 MB /   1.04 sec =  113.6174 Mbps
  117.0000 MB /   7.51 sec =  130.6938 Mbps
   45.1875 MB /   1.30 sec =  290.5384 Mbps
   18.0000 MB /   1.04 sec =  145.4023 Mbps
   14.1875 MB /   0.79 sec =  150.3459 Mbps
   28.5000 MB /   2.15 sec =  111.0800 Mbps
   19.1875 MB /   1.49 sec =  107.7874 Mbps
   24.5000 MB /   0.39 sec =  522.3930 Mbps
   34.6250 MB /   1.94 sec =  149.9914 Mbps
    0.1250 MB /   0.01 sec =  190.8237 Mbps
   35.1875 MB /   1.98 sec =  148.7139 Mbps
    0.2500 MB /   0.05 sec =   42.4370 Mbps
   18.7500 MB /   1.00 sec =  157.1701 Mbps
   23.9375 MB /   1.35 sec =  148.9554 Mbps
   11.6875 MB /   0.64 sec =  153.5647 Mbps
   12.5000 MB /   1.50 sec =   69.7185 Mbps
   19.4375 MB /   1.05 sec =  155.9409 Mbps
   21.0625 MB /   0.44 sec =  403.3915 Mbps
   17.8125 MB /   1.00 sec =  150.1405 Mbps
   17.6875 MB /   1.00 sec =  148.6628 Mbps
   18.5000 MB /   1.00 sec =  155.8073 Mbps
